2.8571,53333,38.462,4500
2.8865,53867,38.515,4504.5
2.916,54400,38.568,4509
2.9454,54933,38.621,4513.5
2.9748,55467,38.675,4518
3.0043,56000,38.728,4522.5
3.0338,56533,38.782,4527
3.0633,57067,38.835,4531.5
3.0928,57600,38.889,4536
3.1223,58133,38.942,4540.5
0.27855,5333.3,2.8571,450
3.1519,58667,38.996,4545
3.1814,59200,39.05,4549.5
3.211,59733,39.104,4554
3.2406,60267,39.157,4558.5
3.2702,60800,39.211,4563
3.2999,61333,39.265,4567.5
3.3295,61867,39.319,4572
3.3592,62400,39.373,4576.5
3.3889,62933,39.427,4581
3.4186,63467,39.481,4585.5
0.30649,5866.7,2.8865,454.5
3.4483,64000,39.535,4590
3.478,64533,39.589,4594.5
3.5078,65067,39.643,4599
3.5375,65600,39.697,4603.5
3.5673,66133,39.752,4608
3.5971,66667,39.806,4612.5
3.6269,67200,39.86,4617
3.6568,67733,39.914,4621.5
3.6866,68267,39.969,4626
3.7165,68800,40.023,4630.5
0.33445,6400,2.916,459
3.7464,69333,40.078,4635
3.7763,69867,40.132,4639.5
3.8062,70400,40.187,4644
3.8362,70933,40.242,4648.5
3.8661,71467,40.296,4653
3.8961,72000,40.351,4657.5
3.9261,72533,40.406,4662
3.9561,73067,40.46,4666.5
3.9861,73600,40.515,4671
4.0162,74133,40.57,4675.5
0.36242,6933.3,2.9454,463.5
4.0462,74667,40.625,4680
4.0763,75200,40.68,4684.5
4.1064,75733,40.735,4689
4.1365,76267,40.79,4693.5
4.1667,76800,40.845,4698
4.1968,77333,40.9,4702.5
4.227,77867,40.955,4707
4.2572,78400,41.011,4711.5
4.2874,78933,41.066,4716
4.3176,79467,41.121,4720.5
0.39041,7466.7,2.9748,468
4.3478,80000,41.176,4725
4.3781,80533,41.232,4729.5
0.41841,8000,41.287,4734
0.44643,8533.3,41.343,4738.5
0.47446,9066.7,41.398,4743
0.50251,9600,41.454,4747.5
0.53058,10133,41.509,4752
0.027785,533.33,41.565,4756.5
0.55866,10667,41.621,4761
0.58676,11200,41.677,4765.5
0.61487,11733,3.0043,472.5
0.643,12267,41.732,4770
0.67114,12800,41.788,4774.5
0.6993,13333,41.844,4779
0.72748,13867,41.9,4783.5
0.75567,14400,41.956,4788
0.78387,14933,42.012,4792.5
0.8121,15467,42.068,4797
0.055586,1066.7,42.124,4801.5
0.84034,16000,42.18,4806
0.86859,16533,42.236,4810.5
0.89686,17067,3.0338,477
0.92515,17600,42.292,4815
0.95345,18133,42.349,4819.5
0.98177,18667,42.405,4824
1.0101,19200,42.461,4828.5
1.0385,19733,42.518,4833
1.0668,20267,42.574,4837.5
1.0952,20800,42.631,4842
0.083403,1600,42.687,4846.5
1.1236,21333,42.744,4851
1.152,21867,42.8,4855.5
