soft,,0.2*RIGID,,0.4*RIGID,,0.6*RIGID,,0.8*RIGID,,1*RIGID,
,,54.5775,29.3333,47.7234,51.7318,51.5615,70.4364,,,49.3855,96.7975
,,54.6544,29.2634,48.4946,49.0571,53.145,70.3972,,,48.4731,99.9785
,,52.8862,29.153,48.6158,51.6535,53.5137,64.9743,,,,
,,54.608,29.1457,47.4912,51.7053,51.063,70.3391,,,,
,,53.5562,29.1953,48.6194,49.576,,,,,,
,,55.1986,28.4684,48.0507,51.671,,,,,,
,,55.5498,28.9113,46.7569,51.6602,,,,,,
,,54.4379,29.1682,50.5279,48.6638,,,,,,
,,54.9841,29.1463,50.1094,54.9582,,,,,,
,,56.9192,28.9804,48.2956,50.3847,,,,,,
,,57.8568,28.2877,47.8631,51.7133,,,,,,
,,56.4017,28.6441,52.3034,48.7399,,,,,,
,,53.9999,29.229,,,,,,,,
