soft,,0.2*RIGID,,0.4*RIGID,,0.6*RIGID,,0.8*RIGID,,1*RIGID,
9.01408,8.47731,11.6713,12.0332,5.3564,19.7071,11.18494,27.27,8.00681,39.9735,10.17595,33.1027
10.275,8.48584,12.37774,12.3138,8.71042,22.0236,14.15254,29.0928,9.78035,38.463,11.20885,33.7934
10.798,8.13801,12.09037,12.61,7.97617,20.4902,14.04132,28.3379,9.55787,38.9699,12.73637,34.386
10.6259,7.90412,12.1942,14.4697,8.48418,20.8869,13.46812,31.1231,10.9162,39.5225,11.44247,37.738
9.54346,8.06779,12.39016,13.1105,10.0753,22.2975,13.9155,30.6694,9.39921,42.8145,10.46754,35.6897
11.5819,8.67183,13.85937,13.3255,9.26142,23.0665,14.17793,29.8121,11.4259,43.8399,12.62802,36.2811
11.14,8.16673,10.93965,13.5904,10.4769,22.1173,13.40302,30.316,9.96619,44.3218,12.30777,36.8954
10.6831,7.45837,13.85644,13.8129,9.75762,27.99,13.11832,32.1886,11.0102,44.669,13.64487,37.5614
9.51569,8.75573,13.58608,14.3073,10.2056,22.7815,13.80095,32.7733,10.9571,42.2666,12.75532,40.9629
13.0216,8.67453,13.53394,15.8365,9.78852,23.2212,15.97378,31.6982,11.0532,42.819,13.37353,38.8727
12.3352,7.84932,13.48894,14.5107,9.8388,23.6181,16.29239,32.2724,10.3406,43.4315,12.49199,39.5149
14.2637,8.9004,15.16134,14.767,10.0697,24.0142,16.11015,32.7496,11.7786,47.5313,14.40399,40.0395
13.0478,9.0416,14.06414,16.426,10.8285,25.1114,13.75215,34.9267,10.5134,44.4366,13.31566,40.8092
13.1694,9.54833,13.73078,16.0633,9.62134,24.7902,12.78249,35.336,11.2623,44.9464,14.26779,41.3819
13.1146,8.37602,14.28424,15.3978,9.77251,25.7874,14.29937,34.1549,11.2015,50.2174,11.68949,41.9951
13.0453,9.62844,19.5932,17.267,11.1564,25.5141,15.59578,34.5607,12.1119,46.0288,14.95904,42.588
14.0978,10.4629,12.85062,15.879,11.5748,26.6158,17.01285,35.0827,12.6034,50.0539,14.11363,43.3472
13.7375,8.739,14.86529,16.0525,10.9199,26.2338,16.55777,35.5659,11.3397,50.6159,13.01058,43.8196
12.2097,9.72527,16.09217,17.4865,12.1882,27.5276,16.33187,35.9455,12.0771,47.5703,13.68827,44.4619
